"file","line","type","snippet","file_after","fixed"
"Exploring CV/balnet_mini_experiment WINDOWS.R",612,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","archive/exploring_cv/balnet_mini_experiment_windows.R","archived (not touched)"
"Exploring CV/balnet_mini_experiment WINDOWS.R",722,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","archive/exploring_cv/balnet_mini_experiment_windows.R","archived (not touched)"
"Exploring CV/balnet_mini_experiment WINDOWS.R",800,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","archive/exploring_cv/balnet_mini_experiment_windows.R","archived (not touched)"
"Exploring CV/balnet_mini_experiment WINDOWS.R",860,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","archive/exploring_cv/balnet_mini_experiment_windows.R","archived (not touched)"
"Exploring CV/balnet_mini_experiment WINDOWS.R",950,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","archive/exploring_cv/balnet_mini_experiment_windows.R","archived (not touched)"
"Exploring CV/cv_summary Working.qmd",18,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","archive/exploring_cv/cv_summary_working.qmd","archived (not touched)"
"Exploring CV/cv_summary.qmd",18,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","analysis/cv/basic_dgp/cv_summary.qmd","yes"
"Exploring CV/cv_summary2.qmd",18,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","archive/exploring_cv/cv_summary2.qmd","archived (not touched)"
"Exploring CV/plot_grids.R",2,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","analysis/cv/basic_dgp/plot_grids.R","yes"
"Exploring CV/prep_cv_summary.R",3,"absolute","dir <- ""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Exploring CV""","analysis/cv/basic_dgp/prep_cv_summary.R","yes"
"Extension_CV/scripts/analyse_path_end_slope.R",11,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","analysis/cv/basic_dgp/analyse_path_end_slope.R","yes"
"Extension_CV/scripts/analyse_path_end_slope.R",13,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","analysis/cv/basic_dgp/analyse_path_end_slope.R","yes"
"Extension_CV/scripts/analyse_path_end_slope.R",15,"setwd","setwd(root)","analysis/cv/basic_dgp/analyse_path_end_slope.R","yes"
"Extension_CV/scripts/cv_smoke_test.R",17,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","tests/cv_smoke_test.R","yes"
"Extension_CV/scripts/cv_smoke_test.R",19,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","tests/cv_smoke_test.R","yes"
"Extension_CV/scripts/cv_smoke_test.R",21,"setwd","setwd(root)","tests/cv_smoke_test.R","yes"
"Extension_CV/scripts/plot_rmse_grids_for_qmd.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","archive/extension_cv/scripts/plot_rmse_grids_for_qmd.R","archived (not touched)"
"Extension_CV/scripts/plot_rmse_grids_for_qmd.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","archive/extension_cv/scripts/plot_rmse_grids_for_qmd.R","archived (not touched)"
"Extension_CV/scripts/plot_rmse_grids_for_qmd.R",14,"setwd","setwd(root)","archive/extension_cv/scripts/plot_rmse_grids_for_qmd.R","archived (not touched)"
"Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R","yes"
"Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R","yes"
"Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R","yes"
"Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R","yes"
"Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R","yes"
"Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R","yes"
"Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R",11,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_bad_overlap_noise10_1000reps__tune4_19.R","yes"
"Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R",13,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_bad_overlap_noise10_1000reps__tune4_19.R","yes"
"Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R",15,"setwd","setwd(root)","runs/cv/basic_dgp/run_bad_overlap_noise10_1000reps__tune4_19.R","yes"
"Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R","yes"
"Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R","yes"
"Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R","yes"
"Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R","yes"
"Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R","yes"
"Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R","yes"
"Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R",11,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R","yes"
"Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R",13,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R","yes"
"Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R",15,"setwd","setwd(root)","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R","yes"
"Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R",11,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_noise_axis_moderate_bad__snr_mb.R","yes"
"Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R",13,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_noise_axis_moderate_bad__snr_mb.R","yes"
"Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R",15,"setwd","setwd(root)","runs/cv/basic_dgp/run_noise_axis_moderate_bad__snr_mb.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R",9,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R",11,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R",13,"setwd","setwd(root)","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R","yes"
"Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R","yes"
"Extension_CV/scripts/run_overlap_axis__ov_s1.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_overlap_axis__ov_s1.R","yes"
"Extension_CV/scripts/run_overlap_axis__ov_s1.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_overlap_axis__ov_s1.R","yes"
"Extension_CV/scripts/run_overlap_axis__ov_s1.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_overlap_axis__ov_s1.R","yes"
"Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R",9,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_overlap_axis_1000reps__ov_1k.R","yes"
"Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R",11,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_overlap_axis_1000reps__ov_1k.R","yes"
"Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R",13,"setwd","setwd(root)","runs/cv/basic_dgp/run_overlap_axis_1000reps__ov_1k.R","yes"
"Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R",9,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_overlap_axis_maxit1e5__ov_s1_m5.R","yes"
"Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R",11,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_overlap_axis_maxit1e5__ov_s1_m5.R","yes"
"Extension_CV/scripts/run_overlap_axis_maxit1e5__ov_s1_m5.R",13,"setwd","setwd(root)","runs/cv/basic_dgp/run_overlap_axis_maxit1e5__ov_s1_m5.R","yes"
"Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_p_x_alpha_x_overlap__dima.R","yes"
"Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_p_x_alpha_x_overlap__dima.R","yes"
"Extension_CV/scripts/run_p_x_alpha_x_overlap__dima.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_p_x_alpha_x_overlap__dima.R","yes"
"Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_p_x_overlap_x_density__tunep2.R","yes"
"Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_p_x_overlap_x_density__tunep2.R","yes"
"Extension_CV/scripts/run_p_x_overlap_x_density__tunep2.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_p_x_overlap_x_density__tunep2.R","yes"
"Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R",11,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_ridge_enet_lowered_floor__tunea4.R","yes"
"Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R",13,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_ridge_enet_lowered_floor__tunea4.R","yes"
"Extension_CV/scripts/run_ridge_enet_lowered_floor__tunea4.R",15,"setwd","setwd(root)","runs/cv/basic_dgp/run_ridge_enet_lowered_floor__tunea4.R","yes"
"Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R",10,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","runs/cv/basic_dgp/run_ridge_enet_x_overlap_x_density__tunea3.R","yes"
"Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R",12,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","runs/cv/basic_dgp/run_ridge_enet_x_overlap_x_density__tunea3.R","yes"
"Extension_CV/scripts/run_ridge_enet_x_overlap_x_density__tunea3.R",14,"setwd","setwd(root)","runs/cv/basic_dgp/run_ridge_enet_x_overlap_x_density__tunea3.R","yes"
"Extension_CV/scripts/summarise_runs_to_csv.R",8,"absolute","""C:/Users/otisr/Documents/Thesis 2026/Masters_Thesis/Extension_CV""","archive/extension_cv/scripts/summarise_runs_to_csv.R","archived (not touched)"
"Extension_CV/scripts/summarise_runs_to_csv.R",10,"absolute","""/Users/otis/Documents/Thesis 2026/Masters_Thesis/Extension_CV""   # Mac; confirm","archive/extension_cv/scripts/summarise_runs_to_csv.R","archived (not touched)"
"Extension_CV/scripts/summarise_runs_to_csv.R",12,"setwd","setwd(root)","archive/extension_cv/scripts/summarise_runs_to_csv.R","archived (not touched)"
"CV Extension/wc_grids.R",60,"relative (function body)","read_cell(sprintf(""%sresults/%s%s_c%s.rds"", dir, prefix, r, k))","analysis/cv/wz_replication/wc_grids.R","yes (Phase 3b: root = here::here() argument)"
"CV Extension/wc_grids.R",171,"relative (function body)","paste0(dir, ""results/"", stem, ""_lambda.csv"")","analysis/cv/wz_replication/wc_grids.R","yes (Phase 3b: root = here::here() argument)"
"CV Extension/wc_grids.R",174,"relative (function body)","paste0(dir, ""results/"", stem, ""_rmse_"", o, "".csv"")","analysis/cv/wz_replication/wc_grids.R","yes (Phase 3b: root = here::here() argument)"
"Exploring CV/plot_grids.R",52,"relative (function body)","png(file.path(dir, out), ...)  # grid_png()","analysis/cv/basic_dgp/plot_grids.R","yes (Phase 3b: root = here::here() argument)"
"Exploring CV/plot_grids.R",284,"relative (function body)","write.csv(out, file.path(dir, ""penalty_picks.csv""))  # penalty_picks_csv()","analysis/cv/basic_dgp/plot_grids.R","yes (Phase 3b: root = here::here() argument)"
"Exploring CV/plot_grids.R",299,"relative (function body)","png(file.path(dir, out), ...)  # path_png()","analysis/cv/basic_dgp/plot_grids.R","yes (Phase 3b: root = here::here() argument)"
